org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
Omaha,"['Traverse City on day 1', 'Alpena on day 3']",5.0,2022-03-19,3.0,"['shared room', 'visitors']",,,7500.0,"Create a travel plan for 3 individuals departing from Omaha on March 19th, 2022. The itinerary includes visiting Traverse City on day 1 and Alpena on day 3, with a total trip duration of 5 days. Our budget for this trip is $7500, and we prefer shared room accommodations that allow visitors.",medium,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['private room'], 'priority': 0, 'question': ""It looks like the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': 'I would consider a private room for my travel plan.'}]"
Cedar Rapids,"['Paducah on day 1', 'Alamosa on day 3']",5.0,2022-03-23,1.0,"['shared room', 'pets']",,,4300.0,"I am planning a 5-day solo trip starting from Cedar Rapids. The itinerary includes visiting Paducah on day 1 and Alamosa on day 3. I am departing on March 23rd, 2022, with a budget of $4300. I am looking for shared room accommodations that allow pets.",easy,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Denver on day 1', 'Alamosa on day 3'], 'priority': 0, 'question': ""It seems Paducah is not accessible for your trip. Do you have another destination in mind that you'd like to visit on day 1 instead?"", 'answer': ""Absolutely! Denver is my go-to choice for day 1. The vibrant city has so much to offer, from stunning mountain views to a bustling downtown scene. I can't wait to explore all the exciting attractions and delicious food options there!""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems like the accommodation preferences you've mentioned might not be feasible for this trip. Is there a different type of accommodation you would consider for your journey?"", 'answer': 'Any accommodation preference is acceptable.'}]"
Charlotte,"['Pittsburgh on day 1', 'Erie on day 4', 'Philadelphia on day 6']",7.0,,,"['shared room', 'children under 10']",,,5100.0,"Create a 7-day itinerary starting from Charlotte. The plan includes visiting Pittsburgh on day 1, Erie on day 4, and Philadelphia on day 6. Our accommodation preference is a shared room that allows children under 10. Our budget for this trip is $5100.",easy,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-06', 'priority': 0, 'question': 'When are you planning to depart from Charlotte for this 7-day trip?', 'answer': ""Absolutely! I can't wait to embark on this adventure on March 6, 2022. It's going to be an incredible journey filled with new experiences and unforgettable memories.""}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Do you mind sharing how many people will be joining you on this trip?', 'answer': ""I'll be traveling alone.""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for this trip. I'm sure there are plenty of great options out there to choose from!""}]"
,"['Marquette on day 1', 'Milwaukee on day 3']",5.0,2022-03-18,,"['private room', 'children under 10']",,no flight,2500.0,"Would you be able to organize a 5-day trip starting on March 18th, 2022, with a budget of $2500? We plan to visit Marquette on the 1st day and Milwaukee on the 3rd day. Our accommodation preference is a private room that allows children under 10. Additionally, we prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Just to confirm, could you please let me know how many people will be joining you on this trip?', 'answer': ""Yes, it will be a fantastic trip with a total of two people, including myself. I can't wait to explore and create unforgettable memories together!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Charlotte', 'priority': 0, 'question': 'I can help with planning your trip, but I need to know the departure city. Where will you be starting your journey from?', 'answer': ""I'll be departing from Charlotte.""}]"
Seattle,['San Francisco on day 1'],3.0,2022-03-21,1.0,,,,900.0,"Could you suggest a 3-day solo trip starting from Seattle to San Francisco on day 1, departing on March 21st, 2022, with a budget of $900?",easy,[]
Gulfport,"['Dallas on day 1', 'San Angelo on day 3', 'Houston on day 5']",7.0,2022-03-24,1.0,"['shared room', 'visitors']",,,4200.0,"Could you suggest a 7-day travel itinerary for a solo traveler starting from Gulfport? The journey includes stops at Dallas on day 1, San Angelo on day 3, and Houston on day 5. I plan to depart on March 24th, 2022, with a budget of $4200. My accommodation preference is a shared room that allows visitors.",easy,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It looks like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider for your travel itinerary?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for this trip. I'm sure there are plenty of great options available that would suit my needs perfectly. Let's get creative and see what other types of accommodations we can consider!""}]"
Oakland,['Scranton on day 1'],3.0,,1.0,,,,1400.0,"Could you suggest a 3-day travel plan for a solo traveler starting from Oakland and heading to Scranton on day 1, with a budget of $1400?",easy,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-15', 'priority': 0, 'question': 'When are you planning to depart for this trip from Oakland to Scranton?', 'answer': 'I plan to depart on March 15, 2022.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Tucson on day 1'], 'priority': 1, 'question': 'It seems like Scranton is not accessible by any transportation methods. Is there another destination you have in mind for day 1 of your trip?', 'answer': ""Absolutely, Tucson is a vibrant city with so much to offer. I'm excited about the possibility of exploring all the unique attractions and soaking in the culture there. It's going to be a fantastic start to my trip!""}]"
Newark,"['Miami on day 1', 'Punta Gorda on day 3', 'Jacksonville on day 5']",7.0,,3.0,"['entire room', 'parties']",,no self-driving,,"Craft a 7-day travel plan for 3 individuals starting from Newark. We plan to visit Miami on the 1st day, Punta Gorda on the 3rd day, and Jacksonville on the 5th day. Our preferred accommodation type is an entire room that allows parties. We will not be self-driving during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-18', 'priority': 0, 'question': 'When are you planning to depart from Newark for this 7-day trip for 3 individuals?', 'answer': 'We are planning to depart from Newark on March 18, 2022.'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 10400, 'priority': 0, 'question': 'Do you have a specific budget in mind for this 7-day trip for 3 individuals starting from Newark?', 'answer': ""Absolutely, I've carefully planned a budget of $10,400 for this incredible 7-day adventure for the three of us. I believe it will allow us to experience the best of what this trip has to offer without compromising on any of the amazing experiences along the way.""}]"
,"['Alamosa on day 1', 'Grand Junction on day 3', 'Durango on day 5']",7.0,2022-03-01,,,,,3000.0,"Can you suggest a 7-day travel itinerary starting on March 1st, 2022, with a budget of $3000? We plan to visit Alamosa on day 1, Grand Junction on day 3, and Durango on day 5.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Oklahoma City', 'priority': 0, 'question': 'Where will you be departing from for this trip?', 'answer': ""I'm so excited to depart from Oklahoma City! It's such a vibrant city with a lot to offer. I can't wait to start my journey from there and explore new destinations.""}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': 'There will be a total of 1 person, including myself.'}]"
Provo,['Phoenix on day 1'],3.0,2022-03-24,,"['private room', 'pets']","['Indian', 'American', 'French', 'Italian']",,,"Please organize a 3-day trip starting from Provo and heading to Phoenix on day 1. We plan to depart on March 24th, 2022. Our accommodation preference is a private room that allows pets. Additionally, we are interested in exploring Indian, American, French, and Italian cuisines during our journey.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 1400, 'priority': 0, 'question': 'What is the budget you have in mind for this 3-day trip from Provo to Phoenix starting on March 24th, 2022, with a private pet-friendly room and a culinary interest in Indian, American, French, and Italian cuisines?', 'answer': 'The budget for the trip is $1400.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': 'There will be a total of 2 people, including me, on this trip.'}]"
Provo,,3.0,,2.0,"['private room', 'pets']","['Indian', 'American', 'French', 'Italian']",,1400.0,"Can you suggest a 3-day travel plan for 2 individuals starting from Provo? We are looking for accommodations with a private room that allows pets. Our culinary preferences include Indian, American, French, and Italian cuisines. Our budget for this trip is $1400.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-24', 'priority': 0, 'question': 'When are you planning to depart from Provo for this 3-day trip?', 'answer': ""I am so excited about this trip! March 24, 2022, is the day I'll be departing from Provo. I can't wait to explore and make the most of these three days!""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Grand Forks on day 1'], 'priority': 0, 'question': 'When and where do you plan to arrive on each day of your trip? Additionally, which cities are you considering visiting during your 3-day travel plan?', 'answer': 'I plan to arrive in Grand Forks on day 1.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Phoenix on day 1'], 'priority': 2, 'question': ""It seems Grand Forks is not accessible by any transportation methods. Is there another destination you'd like to consider for your trip?"", 'answer': 'Phoenix sounds like a great alternative destination. How can I assist you with your trip there?'}]"
,['Wichita on day 1'],3.0,,,['smoking'],,,2700.0,"Please arrange a 3-day trip to Wichita starting on day 1. Our budget for this journey is $2700, and we require accommodations that permit smoking.",medium,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 3, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip to Wichita?', 'answer': 'There will be a total of 3 people, including me, on this trip to Wichita.'}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-19', 'priority': 0, 'question': 'When are you planning to depart for your trip to Wichita?', 'answer': ""I am so excited about my upcoming trip to Wichita! The departure date is set for March 19, 2022. I can't wait to explore all the amazing sights and experiences the city has to offer.""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Houston', 'priority': 0, 'question': 'I need to know the departure city for your trip to Wichita. Where will you be starting your journey from?', 'answer': 'My departure city is Houston.'}]"
St. Petersburg,,3.0,2022-03-16,1.0,,,,1700.0,"Please organize a 3-day travel plan for a solo traveler starting from St. Petersburg. The departure date is March 16th, 2022, and the budget is set at $1700.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Rockford on day 1'], 'priority': 0, 'question': 'Which cities do you have in mind to visit during your 3-day trip, and on which days do you plan to arrive in each city?', 'answer': 'I plan to visit Rockford on day 1.'}]"
Bloomington,"['Orlando on day 1', 'Miami on day 3']",5.0,2022-03-13,4.0,"['shared room', 'visitors']",,,,"Could you suggest a 5-day travel plan for 4 individuals starting from Bloomington? We plan to visit Orlando on the 1st day and Miami on the 3rd day. We are scheduled to depart on March 13th, 2022, and would prefer shared room accommodations that allow visitors.",medium,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 15900, 'priority': 0, 'question': 'To better tailor the travel plan, could you please share the budget you have in mind for this trip?', 'answer': ""Absolutely, I've carefully considered a budget of $15,900 for this trip. I believe it strikes a good balance between quality and affordability, allowing for a memorable travel experience without compromising on comfort and enjoyment.""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['pets'], 'priority': 0, 'question': ""It looks like the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for this trip. One thing that's important to me is finding a place that allows pets, as my furry friend will be joining me on this adventure!""}]"
Daytona Beach,"['Corpus Christi on day 1', 'San Antonio on day 3', 'Dallas on day 5']",,2022-03-18,,,,,,"I am planning a trip starting from Daytona Beach. The itinerary includes visiting Corpus Christi on day 1, San Antonio on day 3, and Dallas on day 5. The departure date is set for March 18th, 2022.",easy,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': ""It's just going to be me on this adventure, exploring and soaking up all the experiences solo!""}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Could you let me know the total number of days you are planning for this trip starting from Daytona Beach and visiting Corpus Christi, San Antonio, and Dallas on specific days?', 'answer': ""Absolutely! I'm so excited about this trip! I'll be spending a total of 7 days exploring Daytona Beach, Corpus Christi, San Antonio, and Dallas. It's going to be such an amazing adventure!""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 3600, 'priority': 0, 'question': 'To better assist you with planning, could you please share the budget you have in mind for this trip?', 'answer': ""We're looking to make the most of our trip with a budget of $3600. We want to experience the best of what our destination has to offer without breaking the bank.""}]"
Gainesville,"['Wilmington on day 1', 'Fayetteville on day 3']",5.0,2022-03-23,,"['shared room', 'children under 10']",,,2900.0,"Could you suggest a 5-day travel plan starting from Gainesville, departing on March 23rd, 2022? We plan to visit Wilmington on day 1 and Fayetteville on day 3. Our budget for this trip is $2900, and we require accommodations that offer shared rooms and are suitable for children under 10.",easy,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It looks like the accommodation requirements you've specified may not be feasible for this trip. Is there a different type of accommodation you'd consider, or perhaps an alternative preference for your stay?"", 'answer': 'Any accommodation preference is acceptable.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Do you mind letting me know how many people will be joining you on this trip?', 'answer': 'One.'}]"
Fort Wayne,['Charlotte on day 1'],,2022-03-08,3.0,"['shared room', 'visitors']",,no flight,1900.0,"Could you assist in planning a trip for 3 individuals starting from Fort Wayne and heading to Charlotte on day 1? We are set to depart on March 8th, 2022, with a budget of $1900. Our accommodation preference is a shared room that allows visitors, and we prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'Just to confirm, how many days are you planning for this trip from Fort Wayne to Charlotte for the three individuals with a budget of $1900 and accommodation preference for a shared room that allows visitors, avoiding air travel?', 'answer': ""Absolutely, we're looking at a 3-day trip filled with exciting adventures and unforgettable memories. I can already envision us exploring the vibrant streets of Charlotte, soaking up the local culture, and indulging in delicious cuisine. It's going to be an incredible journey, and I can't wait to make the most of every moment!""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['entire room', 'pets'], 'priority': 1, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider for your stay?"", 'answer': 'I would consider an entire room and accommodations that allow pets.'}]"
Salt Lake City,,3.0,2022-03-12,,['entire room'],,,7600.0,"Could you propose a 3-day travel plan starting from Salt Lake City, departing on March 12th, 2022, with a budget of $7600? We prefer entire accommodations.",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Burbank on day 1'], 'priority': 0, 'question': 'When do you plan to arrive at each destination during your 3-day trip starting from Salt Lake City on March 12th, 2022 with a budget of $7600?', 'answer': 'I plan to arrive in Burbank on day 1.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 7, 'priority': 0, 'question': 'Just to clarify, how many people will be joining you on this trip from Salt Lake City?', 'answer': ""We have a group of seven adventurous souls ready to embark on this journey from Salt Lake City! It's going to be an amazing trip with great company.""}]"
Fort Lauderdale,,,2022-03-08,2.0,,"['American', 'Chinese']",,1100.0,"Please organize a trip for 2 individuals starting from Fort Lauderdale on March 8th, 2022. Our budget is $1100, and we are interested in exploring American and Chinese cuisine during our journey.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'To better assist you, could you please specify the number of days you are planning for this trip?', 'answer': ""We're looking at a nice little getaway of about 3 days. Just enough time to soak up the sun and explore some new places!""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Milwaukee on day 1'], 'priority': 0, 'question': 'When do you plan to arrive at each destination during your trip, and which cities are you considering visiting?', 'answer': 'I plan to arrive in Milwaukee on day 1.'}]"
Punta Gorda,"['Pellston on day 1', 'Traverse City on day 3', 'Alpena on day 5']",,,3.0,,"['American', 'French']",,,"Could you suggest a travel itinerary for 3 individuals starting from Punta Gorda? We plan to visit Pellston on day 1, Traverse City on day 3, and Alpena on day 5. Additionally, we are interested in exploring American and French cuisine during our trip.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-06', 'priority': 0, 'question': 'When are you planning to depart for this trip from Punta Gorda?', 'answer': ""Absolutely! I'm looking forward to departing on March 6, 2022. It's going to be an exciting start to the trip!""}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you let me know the total number of days you intend to spend on this trip?', 'answer': ""Absolutely, I'm planning to spend a total of 7 days on this trip. It's the perfect amount of time to explore and soak up all the experiences!""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 4400, 'priority': 0, 'question': 'To better tailor the travel itinerary to your preferences, could you please share the budget you have in mind for this trip?', 'answer': ""Absolutely, I'm so excited about this trip! I've been dreaming about exploring new places and immersing myself in different cultures. I believe the budget I have in mind for this adventure is $4400. It's going to be an amazing journey filled with unforgettable experiences and memories to cherish forever. Let's make this trip one for the books!""}]"
Baton Rouge,,7.0,2022-03-17,,"['entire room', 'children under 10']",,no self-driving,14600.0,"I am planning a 7-day trip starting from Baton Rouge on March 17th, 2022. We are a family with children under 10 and prefer accommodations with an entire room that caters to this. Our transportation preference is to not self-drive, and our budget for the trip is $14,600.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 6, 'priority': 0, 'question': 'Just to clarify, could you please specify the number of people in your family who will be joining the trip?', 'answer': ""We have a big group of six adventurous souls ready to explore the world together! It's going to be an unforgettable journey filled with laughter, shared experiences, and precious memories.""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Texarkana on day 1', 'Abilene on day 3', 'Amarillo on day 5'], 'priority': 0, 'question': 'When do you plan to arrive in each destination during your 7-day trip starting from Baton Rouge on March 17th, 2022?', 'answer': ""Absolutely! I've mapped out my journey with excitement: I'll be reaching Texarkana on day 1, Abilene on day 3, and Amarillo on day 5. It's going to be an adventure-filled 7-day trip starting from Baton Rouge on March 17th, 2022!""}]"
Peoria,,7.0,,3.0,['children under 10'],,,8400.0,"Can you suggest a 7-day travel plan for 3 individuals starting from Peoria? Our budget is $8400, and we require accommodations that cater to children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-13', 'priority': 0, 'question': 'When are you planning to depart from Peoria for this trip?', 'answer': 'I plan to depart from Peoria on March 13, 2022.'}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Moline on day 1', 'Chicago on day 3', 'Rockford on day 5'], 'priority': 0, 'question': 'When do you plan to arrive in each destination during the 7-day trip starting from Peoria?', 'answer': ""Absolutely! I'm really looking forward to exploring Moline on day 1, then heading to Chicago on day 3, and finally reaching Rockford on day 5. Each destination has its own unique charm and I can't wait to experience them all!""}]"
,"['Kansas City on day 1', 'Cape Girardeau on day 3', 'St. Louis on day 5']",7.0,2022-03-14,2.0,['private room'],,,8800.0,"Would you be able to organize a 7-day trip for 2 individuals starting on March 14th, 2022? We plan to visit Kansas City on the 1st day, Cape Girardeau on the 3rd day, and St. Louis on the 5th day. Our accommodation preference is a private room, and our budget for the trip is $8800.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Tulsa', 'priority': 0, 'question': 'I can help organize your trip, but I need to know the departure city. Where will you be starting your journey from?', 'answer': ""I'll be departing from Tulsa.""}]"
Chattanooga,"['Atlanta on day 1', 'Decatur on day 3', 'Augusta on day 5']",,2022-03-24,2.0,"['entire room', 'children under 10']",,no flight,6800.0,"Can you suggest an itinerary for a trip starting in Chattanooga and visiting Atlanta on day 1, Decatur on day 3, and Augusta on day 5? We are a group of 2 individuals planning to depart on March 24th, 2022. Our accommodation preference is an entire room that allows children under 10. We prefer not to use flights for transportation and have a budget of $6800.",hard,"[{'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you please specify the total number of days you would like the trip itinerary to cover?', 'answer': 'The trip will cover 7 days.'}]"
Fort Lauderdale,"['Houston on day 1', 'Dallas on day 3']",5.0,2022-03-05,,"['shared room', 'visitors']","['Indian', 'Italian', 'Chinese', 'Mediterranean']",no self-driving,1685.0,"I am planning a 5-day trip starting from Fort Lauderdale. The itinerary includes visiting Houston on day 1 and Dallas on day 3. We will depart on March 5th, 2022, and our budget is $1685. Our accommodation preference is a shared room that allows visitors. We are interested in trying out Indian, Italian, Chinese, and Mediterranean cuisines. Additionally, we prefer not to self-drive during our journey.",hard,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['parties'], 'priority': 0, 'question': ""It seems like the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider for your journey?"", 'answer': 'Yes, I would consider accommodations that allow parties.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': 'Two people, including myself.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 4200, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust your budget to meet the minimum required amount for the itinerary?"", 'answer': ""Absolutely, I'm willing to adjust the budget to $4,200. I believe it will allow me to fully experience all the amazing activities and attractions on the itinerary. Let's make sure this trip is unforgettable!""}]"
Birmingham,"['Miami on day 1', 'Orlando on day 3']",5.0,2022-03-26,1.0,"['shared room', 'pets']",,,3500.0,"Craft a travel plan for a solo traveler departing from Birmingham. The itinerary includes visiting Miami on day 1 and Orlando on day 3, with a total trip duration of 5 days starting on March 26th, 2022. The accommodation preference is a shared room that allows pets, and the budget is set at $3500.",easy,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations to make the most of my travel experience. Variety is the spice of life, after all!""}]"
Birmingham,"['Miami on day 1', 'Orlando on day 3']",5.0,2022-03-26,1.0,,,,3500.0,"Can you help me plan a 5-day trip for one person starting in Birmingham? I'd like to visit Miami on day 1 and Orlando on day 3. My departure date is March 26th, 2022, and my budget is $3500.",easy,[]
Greensboro,"['Atlanta on day 1', 'Decatur on day 3', 'Augusta on day 5']",7.0,,3.0,['smoking'],,,4000.0,"Could you suggest a 7-day travel plan for 3 individuals starting from Greensboro? We plan to visit Atlanta on day 1, Decatur on day 3, and Augusta on day 5. Our budget for the trip is $4000, and we require accommodations that allow smoking.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-10', 'priority': 0, 'question': 'When are you planning to depart from Greensboro for this trip?', 'answer': ""I can't wait to depart from Greensboro on March 10, 2022! It's going to be such an exciting start to my trip.""}]"
Grand Forks,['Minneapolis on day 1'],3.0,2022-03-17,2.0,"['entire room', 'parties']",,no flight,621.0,"Please organize a 3-day trip for 2 individuals starting from Grand Forks and heading to Minneapolis on day 1. We plan to depart on March 17th, 2022, with a budget of $621. Our accommodation preference is an entire room that allows for parties, and we prefer not to use flights for transportation.",hard,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 1300, 'priority': 0, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust the budget to meet the minimum requirement for the itinerary?"", 'answer': 'I can adjust the budget to $1,300.'}]"
,"['Texarkana on day 1', 'Dallas on day 3']",5.0,2022-03-14,,['parties'],,,3900.0,"Would you be able to organize a 5-day trip starting on March 14th, 2022, with a budget of $3900? We plan to visit Texarkana on the 1st day and Dallas on the 3rd day. Our accommodation preference is a place that allows parties.",medium,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 3, 'priority': 0, 'question': 'Could you please clarify how many people will be joining you on this trip?', 'answer': ""Absolutely! I'm planning to travel with a group of three, including myself.""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Manhattan', 'priority': 0, 'question': 'I can help organize your trip, but I need to know the departure city. Where will you be starting your journey from?', 'answer': ""Absolutely! Manhattan is where my adventure begins. The bustling streets and vibrant energy make it the perfect starting point for my journey. I can't wait to explore all the amazing destinations waiting for me out there!""}]"
Pittsburgh,"['Houston on day 1', 'Dallas on day 3']",,2022-03-05,7.0,['children under 10'],,,,"Would you be able to organize a trip for 7 individuals starting in Pittsburgh and visiting Houston on day 1 and Dallas on day 3? We plan to depart on March 5th, 2022, and require accommodations suitable for children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'Just to confirm, could you let me know the total number of days you are planning for this trip?', 'answer': 'Yes, the total number of days for the trip is 5.'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 4111, 'priority': 0, 'question': 'To better assist you with planning this trip for 7 individuals, could you please specify the budget you have in mind for the accommodations and other expenses?', 'answer': 'Our budget for the trip is $4111.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 16100, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust the budget to meet the minimum requirements for the itinerary?"", 'answer': 'I can adjust the budget to $16,100.'}]"
Greer,"['Philadelphia on day 1', 'State College on day 3']",,,1.0,,,,3400.0,"Craft a travel plan for a solo traveler starting from Greer. The itinerary includes visiting Philadelphia on day 1 and State College on day 3, with a budget of $3400.",easy,"[{'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you please specify the total number of days you would like this trip to last?', 'answer': ""Absolutely, I'm thinking of making it a 5-day trip filled with exciting adventures and unforgettable experiences!""}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-05', 'priority': 0, 'question': 'When are you planning to depart from Greer for this solo travel adventure?', 'answer': 'I plan to depart from Greer on March 5, 2022.'}]"
Houston,['Pensacola on day 1'],3.0,2022-03-06,2.0,"['shared room', 'parties']","['Indian', 'American', 'Chinese', 'Italian']",no self-driving,1400.0,"Please organize a 3-day trip for 2 individuals starting from Houston and heading to Pensacola on day 1. We plan to depart on March 6th, 2022, with a budget of $1400. Our accommodation preference is a shared room that allows parties. We are open to various cuisines, including Indian, American, Chinese, and Italian. Additionally, we prefer not to self-drive during our journey.",hard,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['visitors'], 'priority': 0, 'question': ""It seems like the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': ""I'm open to considering accommodations that allow visitors.""}]"
Moline,"['Abilene on day 1', 'Amarillo on day 3', 'Lubbock on day 5']",7.0,2022-03-19,2.0,['entire room'],"['Chinese', 'American', 'Mexican', 'French']",no flight,,"We are planning a 7-day trip for 2 individuals starting from Moline. Our itinerary includes visiting Abilene on day 1, Amarillo on day 3, and Lubbock on day 5. We are set to depart on March 19th, 2022, and prefer accommodations with an entire room. Our culinary preferences encompass Chinese, American, Mexican, and French cuisines. Additionally, we will not be utilizing flights for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 1508, 'priority': 0, 'question': 'What is the budget you have in mind for this 7-day trip for 2 individuals starting from Moline and visiting Abilene, Amarillo, and Lubbock on specific days?', 'answer': '$1,508.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 5500, 'priority': 1, 'question': ""It looks like the budget you've specified might be slightly below what's needed for the trip. Would you be open to adjusting the budget slightly to meet the minimum requirements for the itinerary?"", 'answer': 'I can adjust the budget to $5,500.'}]"
